Designator,Comment,Footprint

"BT1","BAT","BAT_2XAA_HOLDER_PCB_4PINS"
"C1","4.7uF","0805_2"
"C2","4.7uF","0805_2"
"C3","100uF","1812"
"C4","100nF","0603_cap"
"C5","10nF","0603_cap"
"C6","100nF","0603_cap"
"C7","0.033uF","SUPERCAP  PAS311HR"
"C9","4.7uF/MLCC","0603_cap"
"C11","10nF","0603_cap"
"D1","ESD9R3.3ST5G","SOD923"
"D2","GDZ5V1B-V","SOD-323F"
"JP2","HEADER-2","JST_2MM_2PIN_90"
"JP7","Header 12","1X12-RIGHT"
"JP8","Header 12","1X12-RIGHT"
"JP11","Header 10","1X10_2MM_FEM"
"JP12","Header 10","1X10_2MM_FEM"
"JP13","Header 12","1X12-RIGHT"
"L1","IND","COIL_Coilcraft-LPS4018"
"Q1","BSS84,215","SOT-23"
"Q2","PMV16UN","SOT-23"
"Q4","2N7002PT","SOT416"
"R1","10M","0603_RES"
"R2","4.22M","0603_RES"
"R3","5.90M","0603_RES"
"R4","4.02M","0603_RES"
"R5","5.6M","0603_RES"
"R6","4.42M","0603_RES"
"R7","4.42M","0603_RES"
"R8","1.43M","0603_RES"
"R9","4.42M","0603_RES"
"R10","5.6M","0603_RES"
"R11","680K","0603_RES"
"R12","220K","0603_RES"
"R13","1.5M","0603_RES"
"R14","10M","0603_RES"
"R15","2.2M","0603_RES"
"R16","100K","0603_res"
"R17","100K","0603_res"
"R18","4.42M","0603_RES"
"R19","0R","0603_RES"
"R20","0R","0603_RES"
"R21","0R","0603_res"
"R22","0R","0603_res"
"U1","BQ25504","QFN16_BQ25504"
"U2","TLV3011AIDCK","SC70-6"
"U3","NTZD3152P","SOT563"
