Quantity,Comment,FARNELL,MOUSER,Description,Footprint,Designator

"1","BAT","","12BH321P-GR","BATTERY","BAT_2XAA_HOLDER_PCB_4PINS","BT1"
"2","4.7uF","","81-GRM21R61A475KE19D","MLCC","0805_2","C1, C2"
"1","100uF","","810-C4532X5R1A107M","MLCC","1812","C3"
"2","100nF","","C0603C104K3RACTU","MLCC","0603_cap","C4, C6"
"2","10nF","","81-GRM39X103K50D","MLCC","0603_cap","C5, C11"
"1","0.033uF","","963-PAS311HR-VA6R","SUPERCAP PCB","SUPERCAP  PAS311HR","C7"
"1","4.7uF/MLCC","","80-C0603C475M8P","MLCC","0603_cap","C9"
"1","ESD9R3.3ST5G","","863-ESD9R3.3ST5G","TVS ZENER","SOD923","D1"
"1","GDZ5V1B-V","","78-GDZ5V1B-V","TVS ZENER","SOD-323F","D2"
"1","HEADER-2","9733507","","Header, JST","JST_2mm_2PIN_90","JP2"
"3","Header 12","9733507","","Header, 12 PIN","1X12-RIGHT","JP7, JP8, JP13"
"2","Header 10","1907804","","Header, 10-Pin","1X10_2MM_FEM","JP11, JP12"
"1","22uH","","994-LPS4018-223MRB","INDUCTOR SMD","COIL_Coilcraft-LPS4018","L1"
"1","BSS84,215","","771-BSS84AK215","MOSFET-P SOT23","SOT-23","Q1"
"1","PMV16UN","","771-PMV16UN215","MOSFET-N NXP SOT23 20V 0.018R 5.8A VGSth=0.7V","SOT-23","Q2"
"1","2N7002PT","","771-2N7002PT-115","MOSFET-N SOT416","SOT416","Q4"
"2","10M","","71-CRCW0805-10M-E3","RESISTOR","0603_res","R1, R14"
"1","4.22M","","71-CRCW08054M22FKEA","RESISTOR","0603_res","R2"
"1","5.90M","","71-CRCW08055M90FKEA","RESISTOR","0603_res","R3"
"1","4.02M","","71-CRCW08054M02FKEA","RESISTOR","0603_res","R4"
"2","5.6M","","71-CRCW08055M60FKEA","RESISTOR","0603_res","R5, R10"
"4","4.42M","","71-CRCW08054M42FKEA","RESISTOR","0603_res","R6, R7, R9, R18"
"1","1.43M","","71-CRCW08051M43FKEA","RESISTOR","0603_res","R8"
"1","680K","","71-CRCW0603-680K-E3","RESISTOR","0603_res","R11"
"1","220K","","RK73B1JTTD224J","RESISTOR","0603_res","R12"
"1","1.5M","","71-CRCW0603-1.5M-E3","RESISTOR","0603_res","R13"
"1","2.2M","","71-CRCW06032M20JNEB","RESISTOR","0603_res","R15"
"2","100K","","71-CRCW0603-100K-E3","RESISTOR","0603_res","R16, R17"
"4","0R","","RK73Z1JTTD","RESISTOR","0603_res","R19, R20, R21, R22"
"1","BQ25504","","595-BQ25504RGTT","IC","QFN16_BQ25504","U1"
"1","TLV3011AIDCK","","595-TLV3011AIDCKT","IC","SC70-6","U2"
"1","NTZD3152P","","863-NTZD3152PT1G","IC","SOT563","U3"
